SID,Region,TGL,CO,Grid ,Dependancy,Sub Cities,NPS Sites,Corporate Client Site,Technology,Site Importance,Single City Region (RAN),Single City Region (Com),Site Category,Revenue Cat,OnAirDate,"New 
USF Sites",Sharing Status,Shared With,OMO Site ID,"Locked Site
Expire Date","DG Opertational Status
(696 Update)",Solar Sites,Li-Ion Sites,"Jan-25
(Fuel)","Feb-25
(Fuel)","Mar-25
(Fuel)","Apr-25
(Fuel)","May-25
(Fuel)","Jun-25
(Fuel)","Jul-25
(Fuel)","Aug-25
(Fuel)","Sep-25
(Fuel)","Oct-25
(Fuel)","Nov-25
(Fuel)","Dec-25
(Fuel)",Jan 25 TCH%,Feb 25 TCH%,Mar 25 TCH%,Apr 25 TCH%,May 25 TCH%,Jun 25 TCH%,Jul 25 TCH%,Aug 25 TCH%,Sep 25 TCH%,q1,q2,q3,Oct 25 TCH%,Nov 25 TCH%,Dec 25 TCH%,Jan 26 TCH%,Feb 26 TCH%,2026-01-20 00:00:00,2026-01-21 00:00:00,2026-01-22 00:00:00,2026-01-23 00:00:00,2026-01-24 00:00:00,2026-01-25 00:00:00,2026-01-26 00:00:00,2026-01-27 00:00:00,2026-01-28 00:00:00,2026-01-29 00:00:00,2026-01-30 00:00:00,2026-01-31 00:00:00,2026-02-01 00:00:00,2026-02-02 00:00:00,2026-02-03 00:00:00,2026-02-04 00:00:00,2026-02-05 00:00:00,2026-02-06 00:00:00,2026-02-07 00:00:00,2026-02-08 00:00:00,2026-02-09 00:00:00,2026-02-10 00:00:00
74,South-2,Abdul.Salam,sajid_ali,S2008,11,Hyderabad,No,No,2G+3G+4G,PTN Node Site,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,Yes,-,2023-12-12 00:00:00,2000,400,0,300,2000,400,0,0,400,400,200,10,99.84666666666665,68.55013797619048,91.30376731182794,82.5750892222222,83.17064064516128,58.20773477777778,45.16042022222222,47.934674222222235,58.58778088888889,86.56685731822836,74.65115488172042,50.56095844444445,93.00472225806449,92.0519031111111,92.4944988172043,97.93003387096773,97.22409299999998,97.95676666666667,99.57333333333334,99.46333333333332,99.50666666666666,97.24187,98.80873000000001,99.47666666666667,99.49000000000001,99.46333333333332,99.52333333333333,99.53000000000002,99.33666666666666,99.59333333333332,99.56333333333333,99.64333333333333,99.62333333333333,99.67,99.71999999999998,91.81078333333333,87.88249333333334,96.80666666666667,97.92765333333334
73,South-2,Abdul.Salam,m.danish.ali_s2,S2011,0,Hyderabad,No,Yes,2G+3G+4G,BTS,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Shared as Guest,Pakcom,Pakcom,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,96.38048666666667,98.75820499999999,99.15677333333333,98.07732333333333,91.80554537634411,97.38068133333336,98.86232377777779,91.43804055555555,78.13157144444446,98.09848833333332,95.75451668100361,89.47731192592592,96.35943311827957,90.11206155555557,96.96846279569893,97.71791010752686,94.18002233333334,98.00772,96.24335666666667,99.21666666666665,96.86422,93.62497,98.17439999999999,97.74680666666666,98.60666666666667,98.71333333333332,99.16642,98.70666666666666,98.29,97.59431333333333,90.84580333333332,95.55393,97.16301333333332,98.31579666666666,99.44666666666667,84.06400666666667,97.54115666666667,89.55050333333334,91.72503333333333
72,South-2,Abdul.Salam,Ieng_muhammad.kashif,S2011,0,Hyderabad,No,No,2G+3G+4G,BTS,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Shared as Host,Jazz,-,-,-,-,2023-08-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,92.48744688172047,95.7568623809524,99.89320720430108,99.31655633333334,93.52635096774195,70.10802855555556,78.19337455555555,76.76935288888889,76.8375392222222,96.04583882232464,87.65031195221029,77.26675555555555,90.71230741935486,81.42155333333335,91.60427709677421,98.08930645161291,99.05285999999998,98.59264666666667,99.31,99.33666666666666,99.45666666666666,99.27666666666666,90.44102333333335,99.44666666666667,99.42666666666666,99.21,98.94666666666667,99.49333333333334,93.38731,99.46666666666665,99.21666666666665,94.90199666666666,99.65333333333332,99.42660333333333,99.41000000000001,99.66666666666667,99.77,99.46666666666665,99.55
71,South-1,aqib.rasheed,amjad_ali_c1,S1009,4,DHA,No,Yes,2G+3G+4G,PTN Node Site,-,-,Silver,SB,2004-09-30,Non USF Sites,Not Shared,-,-,-,Yes,-,2022-11-14 00:00:00,0,0,0,0,0,0,500,0,0,0,0,0,95.6813124731183,95.54458750000002,23.434933333333333,5.2080852222222225,17.248612043010752,3.8407970000000002,15.766817096774185,17.823350107526878,18.20673911111112,71.55361110215055,8.765831421744325,17.265635438470728,47.13336623655914,97.28372966666666,99.7326417204301,99.84362462365593,99.96388033333332,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.63880333333333,100,100,100,100
70,South-1,salman.amin,Iftikhar.ahmed_s2,S1006,0,Manghopir,No,Yes,2G+3G+4G,BTS,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,-,-,2022-12-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,98.96466376344088,96.9985786904762,98.68039032258062,98.92391,95.9459617204301,98.71394533333333,97.9705894047619,94.81573473118276,82.82062866666668,98.21454425883257,97.8612723512545,91.8689842675371,91.9497234408602,96.79100188888889,86.69189150537633,97.20173290322579,98.46273266666665,99.25333333333333,98.96894666666667,84.69971666666667,99.36333333333334,99.08666666666666,98.96999999999998,98.89666666666666,99.19333333333333,99.19,86.98842,99.59333333333332,99.18666666666667,99.10000000000001,99.17666666666666,99.28333333333335,99.46999999999998,99.30666666666667,97.51234333333332,97.47130333333332,99.48666666666666,99.27666666666666,94.54368
68,South-1,aqib.rasheed,MuhammadTanveeruddin,S1009,11,Other Cities,No,Yes,2G+3G+4G,PTN Node Site,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,Yes,-,2024-05-23 00:00:00,300,500,350,250,300,750,300,980,350,350,650,420,91.2471335483871,99.01369047619048,99.35118279569893,99.20877777777774,99.13172043010752,99.08766666666669,99.27399226190478,99.09365999999999,99.2996666666667,96.53733560675884,99.14272162485065,99.22243964285717,98.94634408602151,98.86404088888888,98.99258064516127,98.95473118279568,98.98833333333332,98.8,98.92333333333333,98.97333333333334,98.85333333333334,98.90333333333332,99.58,98.78000000000002,98.96666666666665,98.87333333333333,99.22666666666667,98.90666666666668,99.22666666666667,98.80666666666667,98.82666666666667,99.20666666666666,98.96333333333332,98.98,99.01666666666667,99.27333333333333,99.06333333333333,98.87333333333333,98.87333333333333
67,South-1,Aman.Siddiqui,wajid_iqbal_c1,S1008,3,Other Cities,No,Yes,2G+3G+4G,PTN Node Site,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,Yes,-,2022-09-28 00:00:00,0,0,0,0,0,0,0,120,0,120,250,10,83.91293591397849,83.6354030952381,83.92922731182796,83.31676388888891,83.69158731182794,83.89347633333335,83.82402678571428,83.50058422222223,83.43820355555555,83.82585544034818,83.63394251135007,83.58760485449734,91.70524430107527,94.95498611111114,98.03490623655912,98.47946236559137,97.69580933333332,98.60333333333334,98.43,98.79,98.22666666666667,98.5,98.74333333333334,98.49333333333334,98.62,98.81,98.19666666666667,98.17333333333333,98.54333333333334,92.61142666666667,98.30666666666667,98.14999999999999,98.2,98.12666666666667,98.23333333333333,98.36,98.42,98.23666666666666,98.31333333333333
65,South-1,salman.amin,m.inamhanif_s1,S1003,15,Orangi Town,No,Yes,2G+3G+4G,PTN Node Site,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,Yes,-,2022-10-14 00:00:00,150,0,210,0,150,120,480,210,150,390,150,930,98.27611204301074,95.75774869047622,98.87143688172043,96.87941666666667,99.92817204301075,98.33755300000001,99.73638976190476,96.78308817204298,98.4627011111111,97.63509920506912,98.38171390322582,98.32739301501961,99.5285060215054,99.45837466666669,99.12955612903224,99.61075333333332,99.92266666666667,100,100,100,100,100,100,99.50333333333333,100,100,100,100,100,100,99.71,100,100,100,100,100,100,99.51666666666667,100
63,South-1,Aman.Siddiqui,Ishareef_s1,S1008,3,Other Cities,No,No,2G+3G+4G,Minor Hub,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,99.5610022580645,98.94925071428577,99.67364838709682,98.44846355555555,98.97216849462367,90.96738766666667,95.5768019047619,95.72634688172042,96.62146622222222,99.39463378648236,96.12933990561528,95.97487166956819,93.97203935483871,98.14179911111111,94.80172924731184,99.68034215053764,92.30052899999998,99.63,100,100,99.68333333333334,100,100,99.59666666666668,99.61666666666667,100,99.41333333333334,98.97666666666667,99.70666666666666,94.33412,91.82724,92.11569333333334,83.80126666666666,62.290303333333334,99.48333333333333,99.81666666666666,99.64999999999999,100,99.68666666666667
62,South-1,Aman.Siddiqui,Ishareef_s1,S1004,1,Other Cities,No,Yes,2G+3G+4G,Minor Hub,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,-,-,2023-01-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,69.44265827956991,69.4877820238095,69.87231322580645,68.42982644444442,64.42558043010753,67.58741833333332,68.28945797619046,69.30927655555553,68.89704977777777,69.60091784306195,66.81427506929508,68.83192810317459,72.45615204301076,96.8378502222222,95.5015858064516,95.45864215053764,99.16438666666666,98.92333333333333,73.37894333333334,90.52495333333333,98.98666666666666,99.17,99.13333333333333,78.10109,59.16674666666666,81.29067666666667,99.17666666666666,99.06,98.28883,99.50999999999999,99.14999999999999,99.17666666666666,99.33999999999999,99.28000000000002,98.50386666666667,99.25,99.30333333333333,98.89333333333333,99.23666666666666
